duty,content_category,is_savage,is_ultimate,is_unreal,is_extreme,is_high_end,is_alliance_raid,is_chaotic_alliance
Anabaseios: The Twelfth Circle (Savage),savage,1,0,0,0,1,0,0
Another Aloalo Island (Savage),savage,1,0,0,0,1,0,0
Another Mount Rokkon (Savage),savage,1,0,0,0,1,0,0
Another Sil'dihn Subterrane (Savage),savage,1,0,0,0,1,0,0
Asphodelos: The First Circle (Savage),savage,1,0,0,0,1,0,0
Asphodelos: The Fourth Circle (Savage),savage,1,0,0,0,1,0,0
Asphodelos: The Second Circle (Savage),savage,1,0,0,0,1,0,0
Asphodelos: The Third Circle (Savage),savage,1,0,0,0,1,0,0
Deltascape V1.0 (Savage),savage,1,0,0,0,1,0,0
Deltascape V2.0 (Savage),savage,1,0,0,0,1,0,0
Deltascape V3.0 (Savage),savage,1,0,0,0,1,0,0
Deltascape V4.0 (Savage),savage,1,0,0,0,1,0,0
Delubrum Reginae (Savage),other,0,0,0,0,0,0,0
Eden's Gate: Descent (Savage),savage,1,0,0,0,1,0,0
Eden's Gate: Inundation (Savage),savage,1,0,0,0,1,0,0
Eden's Gate: Resurrection (Savage),savage,1,0,0,0,1,0,0
Eden's Gate: Sepulture (Savage),savage,1,0,0,0,1,0,0
Eden's Promise: Anamorphosis (Savage),savage,1,0,0,0,1,0,0
Eden's Promise: Eternity (Savage),savage,1,0,0,0,1,0,0
Eden's Promise: Litany (Savage),savage,1,0,0,0,1,0,0
Eden's Promise: Umbra (Savage),savage,1,0,0,0,1,0,0
Eden's Verse: Fulmination (Savage),savage,1,0,0,0,1,0,0
Eden's Verse: Furor (Savage),savage,1,0,0,0,1,0,0
Eden's Verse: Iconoclasm (Savage),savage,1,0,0,0,1,0,0
Eden's Verse: Refulgence (Savage),savage,1,0,0,0,1,0,0
Sigmascape V1.0 (Savage),savage,1,0,0,0,1,0,0
Sigmascape V2.0 (Savage),savage,1,0,0,0,1,0,0
Sigmascape V3.0 (Savage),savage,1,0,0,0,1,0,0
Sigmascape V4.0 (Savage),savage,1,0,0,0,1,0,0
The Second Coil of Bahamut (Savage) - Turn 1,savage,1,0,0,0,1,0,0
The Second Coil of Bahamut (Savage) - Turn 2,savage,1,0,0,0,1,0,0
The Second Coil of Bahamut (Savage) - Turn 3,savage,1,0,0,0,1,0,0
The Second Coil of Bahamut (Savage) - Turn 4,savage,1,0,0,0,1,0,0
Dancing Mad (Ultimate),ultimate,0,1,0,0,1,0,0
Dragonsong's Reprise (Ultimate),ultimate,0,1,0,0,1,0,0
Futures Rewritten (Ultimate),ultimate,0,1,0,0,1,0,0
The Epic of Alexander (Ultimate),ultimate,0,1,0,0,1,0,0
The Omega Protocol (Ultimate),ultimate,0,1,0,0,1,0,0
The Unending Coil of Bahamut (Ultimate),ultimate,0,1,0,0,1,0,0
The Weapon's Refrain (Ultimate),ultimate,0,1,0,0,1,0,0
Shinryu's Domain (Unreal),unreal,0,0,1,0,1,0,0
Tsukuyomi's Pain (Unreal),unreal,0,0,1,0,1,0,0
